ID,ID_REPOSITORY,ID_RUN,MATRICOLA_TRENO,ERRORE,SOTTOERRORE,CAB,DATE,ORARIO_MMI,DISTANZA,VELOCITA,NID_MACROAREA,NID_AREA,NID_PI,TIP,DIREZIONE,ASPETTO,DIREZIONE_DI_MARCIA,AIRGAP_INDEX,LUNGH_CONTATTO_ASW,LUNGH_CONTATTO_ABS,LUNGH_CONTATTO_INCR,FREQUENZA,N_SSC_TELEGRAMS,N_SSC_WRONG_TELEGRAMS,PERC_RIEMPIMENTO,TIMESTAMP,LOG_CANMVB_PATH,FKVERSIONE_SSB_SCMT,MODO_OP_SSC,TIPO_ERRORE,PC,TS,fkID_ALARM,ID_ISSUE
7705448,FAL,6109094,ST          0006,,,CAB_B,2022-06-29,14:30:30,15868,30,3,1,57,PROTEZIONE,PI_NORMAL,GIALLO,DIR_NORMAL,2548.0,3227.0,3227.0,3227.0,F1,78.0,0.0,100.0,2022-06-29 14:30:30,,,,,,,ID_PI_ALARM_ML,0
7705618,FAL,6109315,SBT         0005,,,CAB_B,2022-06-29,15:14:33,18240,59,3,1,57,PROTEZIONE,PI_NORMAL,GIALLO,DIR_NORMAL,2129.0,2697.0,2697.0,2697.0,F1,33.0,0.0,100.0,2022-06-29 15:14:33,,,,,,,ID_PI_ALARM_ML,0
7706706,FAL,6110650,SBT         0007,,,CAB_B,2022-06-29,17:45:25,15950,34,3,1,57,PROTEZIONE,PI_NORMAL,GIALLO,DIR_NORMAL,1766.0,2237.0,2237.0,2237.0,F1,48.0,2.0,96.0,2022-06-29 17:45:25,,,,,,,ID_PI_ALARM_ML,0
7705742,FAL,6109317,SB          0002,,,CAB_B,2022-06-29,18:51:42,15854,57,3,1,57,PROTEZIONE,PI_NORMAL,GIALLO,DIR_NORMAL,2344.0,2969.0,2969.0,2969.0,F1,35.0,0.0,100.0,2022-06-29 18:51:42,,,,,,,ID_PI_ALARM_ML,0
7705921,FAL,6109484,ST          0006,,,CAB_B,2022-06-29,19:58:32,15867,22,3,1,57,PROTEZIONE,PI_NORMAL,GIALLO,DIR_NORMAL,2750.0,3483.0,3483.0,3483.0,F1,123.0,0.0,100.0,2022-06-29 19:58:32,,,,,,,ID_PI_ALARM_ML,0
7705969,FAL,6109916,ST          0008,,,CAB_B,2022-06-29,20:38:11,18215,54,3,1,57,PROTEZIONE,PI_NORMAL,GIALLO,DIR_NORMAL,2039.0,2583.0,2583.0,2583.0,F1,38.0,0.0,100.0,2022-06-29 20:38:11,,,,,,,ID_PI_ALARM_ML,0
7706937,FAL,6110952,SB          0002,,,CAB_B,2022-06-29,21:58:12,15855,47,3,1,57,PROTEZIONE,PI_NORMAL,GIALLO,DIR_NORMAL,2485.0,3148.0,3148.0,3148.0,F1,48.0,1.0,98.0,2022-06-29 21:58:12,,,,,,,ID_PI_ALARM_ML,0
7706643,FAL,6110399,SBT         0005,,,CAB_B,2022-06-29,22:38:49,76224,52,3,1,57,PROTEZIONE,PI_NORMAL,GIALLO,DIR_NORMAL,2626.0,3326.0,3326.0,3326.0,F1,46.0,0.0,100.0,2022-06-29 22:38:49,,,,,,,ID_PI_ALARM_ML,0
7707193,FAL,6111112,ST          0008,,,CAB_B,2022-06-30,04:30:37,14810,58,3,1,57,PROTEZIONE,PI_NORMAL,VERDE,DIR_NORMAL,2200.0,2787.0,2787.0,2787.0,F1,37.0,0.0,100.0,2022-06-30 04:30:37,,,,,,,ID_PI_ALARM_ML,0
7706848,FAL,6110787,ST          0006,,,CAB_B,2022-06-30,05:34:39,15867,58,3,1,57,PROTEZIONE,PI_NORMAL,GIALLO,DIR_NORMAL,2627.0,3327.0,3327.0,3327.0,F1,45.0,0.0,100.0,2022-06-30 05:34:39,,,,,,,ID_PI_ALARM_ML,0
7707829,FAL,6111707,ST          0006,,,CAB_B,2022-06-30,11:11:32,15863,22,3,1,57,PROTEZIONE,PI_NORMAL,GIALLO,DIR_NORMAL,2730.0,3458.0,3458.0,3458.0,F1,114.0,1.0,99.0,2022-06-30 11:11:32,,,,,,,ID_PI_ALARM_ML,0
7707899,FAL,6111846,SB          0002,,,CAB_B,2022-06-30,11:57:32,15856,30,3,1,57,PROTEZIONE,PI_NORMAL,GIALLO,DIR_NORMAL,2460.0,3116.0,3116.0,3116.0,F1,72.0,0.0,100.0,2022-06-30 11:57:32,,,,,,,ID_PI_ALARM_ML,0
7707970,FAL,6111956,ST          0002,,,CAB_B,2022-06-30,13:03:55,15873,59,3,1,57,PROTEZIONE,PI_NORMAL,GIALLO,DIR_NORMAL,2045.0,2590.0,2590.0,2590.0,F1,33.0,0.0,100.0,2022-06-30 13:03:55,,,,,,,ID_PI_ALARM_ML,0
7708173,FAL,6112534,ST          0006,,,CAB_B,2022-06-30,14:28:19,15863,29,3,1,57,PROTEZIONE,PI_NORMAL,GIALLO,DIR_NORMAL,2604.0,3298.0,3298.0,3298.0,F1,82.0,0.0,100.0,2022-06-30 14:28:19,,,,,,,ID_PI_ALARM_ML,0
7708279,FAL,6112677,SB          0002,,,CAB_B,2022-06-30,16:02:51,15847,28,3,1,57,PROTEZIONE,PI_NORMAL,GIALLO,DIR_NORMAL,2556.0,3237.0,3237.0,3237.0,F1,70.0,0.0,100.0,2022-06-30 16:02:51,,,,,,,ID_PI_ALARM_ML,0
