fkID_RUN,DISTANCE_AT,SPEED_AT,TS_AT,fkID_ISSUE,ID,CATEGORY
5887869,9380,20,1650028116,0,,IN_MISSION
5889443,31662,25,1650099804,0,,IN_MISSION
5895194,916,15,1650109971,0,,IN_MISSION
5895458,9400,27,1650114595,0,,IN_MISSION
5896326,31662,26,1650358950,0,,IN_MISSION
5898184,744,17,1650369097,0,,IN_MISSION
5897208,9380,18,1650373747,0,,IN_MISSION
5899303,31622,24,1650445407,0,,IN_MISSION
5901265,42888,21,1650455530,0,,IN_MISSION
5900206,9366,22,1650460138,0,,IN_MISSION
5902288,31614,17,1650531789,0,,IN_MISSION
5903055,900,15,1650541911,0,,IN_MISSION
5904472,9365,24,1650546505,0,,IN_MISSION
5909590,850,17,1650717634,0,,IN_MISSION
5917273,9398,20,1650978629,0,,IN_MISSION
